Distance,Diameter,Radius,FFR,Text File Input
16.4163,2.69425,1.347125,,16.4163 1.347125 0
16.4168,2.69431,1.347155,,16.4168 1.347155 0
16.4244,2.69523,1.347615,,16.4244 1.347615 0
16.4566,2.69854,1.34927,,16.4566 1.34927 0
16.5778,2.71788,1.35894,,16.5778 1.35894 0
16.6277,2.72926,1.36463,,16.6277 1.36463 0
16.6332,2.73047,1.365235,,16.6332 1.365235 0
16.6519,2.73453,1.367265,,16.6519 1.367265 0
16.6745,2.73845,1.369225,,16.6745 1.369225 0
16.7274,2.74578,1.37289,,16.7274 1.37289 0
16.7357,2.74692,1.37346,,16.7357 1.37346 0
16.8159,2.75771,1.378855,,16.8159 1.378855 0
16.8975,2.77402,1.38701,,16.8975 1.38701 0
16.9295,2.7813,1.39065,,16.9295 1.39065 0
16.9896,2.79162,1.39581,,16.9896 1.39581 0
17.0159,2.79706,1.39853,,17.0159 1.39853 0
17.0954,2.81306,1.40653,,17.0954 1.40653 0
17.1162,2.81741,1.408705,,17.1162 1.408705 0
17.1352,2.82153,1.410765,,17.1352 1.410765 0
17.2809,2.85186,1.42593,,17.2809 1.42593 0
17.3224,2.85981,1.429905,,17.3224 1.429905 0
17.3567,2.86568,1.43284,,17.3567 1.43284 0
17.4496,2.88262,1.44131,,17.4496 1.44131 0
17.5034,2.89482,1.44741,,17.5034 1.44741 0
17.5516,2.90519,1.452595,,17.5516 1.452595 0
17.6047,2.9174,1.4587,,17.6047 1.4587 0
17.6421,2.92569,1.462845,,17.6421 1.462845 0
17.7516,2.94544,1.47272,,17.7516 1.47272 0
