Distance,Diameter,Radius,,Text File Input
11.4319,1.568,0.784,,11.4319 0.784 0
11.4441,1.56959,0.784795,,11.4441 0.784795 0
11.447,1.57002,0.78501,,11.447 0.78501 0
11.4774,1.57606,0.78803,,11.4774 0.78803 0
11.4775,1.57608,0.78804,,11.4775 0.78804 0
11.4897,1.57842,0.78921,,11.4897 0.78921 0
11.4907,1.5786,0.7893,,11.4907 0.7893 0
11.5307,1.58604,0.79302,,11.5307 0.79302 0
11.541,1.58792,0.79396,,11.541 0.79396 0
11.545,1.58873,0.794365,,11.545 0.794365 0
11.5452,1.58876,0.79438,,11.5452 0.79438 0
11.5525,1.59039,0.795195,,11.5525 0.795195 0
11.5526,1.59041,0.795205,,11.5526 0.795205 0
11.5735,1.59438,0.79719,,11.5735 0.79719 0
11.6218,1.60448,0.80224,,11.6218 0.80224 0
11.6232,1.60476,0.80238,,11.6232 0.80238 0
11.6786,1.6163,0.80815,,11.6786 0.80815 0
11.7031,1.62238,0.81119,,11.7031 0.81119 0
11.7188,1.62669,0.813345,,11.7188 0.813345 0
11.7189,1.62671,0.813355,,11.7189 0.813355 0
11.7242,1.62803,0.814015,,11.7242 0.814015 0
11.7325,1.63026,0.81513,,11.7325 0.81513 0
11.7474,1.63456,0.81728,,11.7474 0.81728 0
11.7475,1.63458,0.81729,,11.7475 0.81729 0
11.7716,1.64088,0.82044,,11.7716 0.82044 0
11.7723,1.64105,0.820525,,11.7723 0.820525 0
11.7955,1.64705,0.823525,,11.7955 0.823525 0
11.7956,1.64709,0.823545,,11.7956 0.823545 0
11.809,1.65109,0.825545,,11.809 0.825545 0
11.8092,1.65115,0.825575,,11.8092 0.825575 0
11.8267,1.65623,0.828115,,11.8267 0.828115 0
11.8298,1.65697,0.828485,,11.8298 0.828485 0
11.8824,1.6693,0.83465,,11.8824 0.83465 0
11.8825,1.66931,0.834655,,11.8825 0.834655 0
11.8865,1.67033,0.835165,,11.8865 0.835165 0
11.8867,1.67037,0.835185,,11.8867 0.835185 0
11.9017,1.67367,0.836835,,11.9017 0.836835 0
11.9054,1.67447,0.837235,,11.9054 0.837235 0
11.9252,1.67827,0.839135,,11.9252 0.839135 0
11.929,1.67899,0.839495,,11.929 0.839495 0
11.938,1.68091,0.840455,,11.938 0.840455 0
11.9652,1.68557,0.842785,,11.9652 0.842785 0
11.9763,1.68753,0.843765,,11.9763 0.843765 0
11.9787,1.68796,0.84398,,11.9787 0.84398 0
11.9788,1.68799,0.843995,,11.9788 0.843995 0
12.01,1.69445,0.847225,,12.01 0.847225 0
12.0125,1.69489,0.847445,,12.0125 0.847445 0
12.0464,1.7011,0.85055,,12.0464 0.85055 0
12.0638,1.70462,0.85231,,12.0638 0.85231 0
