Distance,Diameter,Radius,FFR,Text File Input
13.8069,1.69511,0.847555,,13.8069 0.847555 0
13.8208,1.69648,0.84824,,13.8208 0.84824 0
13.8264,1.69709,0.848545,,13.8264 0.848545 0
13.8344,1.69773,0.848865,,13.8344 0.848865 0
13.836,1.69777,0.848885,,13.836 0.848885 0
13.8546,1.69793,0.848965,,13.8546 0.848965 0
13.8773,1.69788,0.84894,,13.8773 0.84894 0
13.879,1.69783,0.848915,,13.879 0.848915 0
13.9179,1.69546,0.84773,,13.9179 0.84773 0
13.9434,1.69372,0.84686,,13.9434 0.84686 0
13.9592,1.69325,0.846625,,13.9592 0.846625 0
13.9601,1.69324,0.84662,,13.9601 0.84662 0
14.0073,1.69339,0.846695,,14.0073 0.846695 0
14.0583,1.69615,0.848075,,14.0583 0.848075 0
14.0611,1.69631,0.848155,,14.0611 0.848155 0
14.0731,1.69672,0.84836,,14.0731 0.84836 0
14.1213,1.6964,0.8482,,14.1213 0.8482 0
14.1346,1.69587,0.847935,,14.1346 0.847935 0
14.2029,1.69423,0.847115,,14.2029 0.847115 0
14.203,1.69423,0.847115,,14.203 0.847115 0
14.2126,1.69462,0.84731,,14.2126 0.84731 0
14.2202,1.69489,0.847445,,14.2202 0.847445 0
14.2254,1.69483,0.847415,,14.2254 0.847415 0
14.3004,1.69458,0.84729,,14.3004 0.84729 0
14.3364,1.69471,0.847355,,14.3364 0.847355 0
14.3639,1.69505,0.847525,,14.3639 0.847525 0
14.4224,1.69787,0.848935,,14.4224 0.848935 0
14.4227,1.69789,0.848945,,14.4227 0.848945 0
14.4286,1.69832,0.84916,,14.4286 0.84916 0
14.4359,1.69874,0.84937,,14.4359 0.84937 0
14.4579,1.69971,0.849855,,14.4579 0.849855 0
14.4645,1.70013,0.850065,,14.4645 0.850065 0
14.4728,1.70082,0.85041,,14.4728 0.85041 0
14.4841,1.70137,0.850685,,14.4841 0.850685 0
14.5126,1.70241,0.851205,,14.5126 0.851205 0
14.5225,1.70289,0.851445,,14.5225 0.851445 0
14.5226,1.70289,0.851445,,14.5226 0.851445 0
14.5343,1.70302,0.85151,,14.5343 0.85151 0
14.552,1.70292,0.85146,,14.552 0.85146 0
14.5899,1.70292,0.85146,,14.5899 0.85146 0
14.607,1.70367,0.851835,,14.607 0.851835 0
14.6167,1.70392,0.85196,,14.6167 0.85196 0
14.6174,1.70393,0.851965,,14.6174 0.851965 0
14.6256,1.70371,0.851855,,14.6256 0.851855 0
14.6817,1.70452,0.85226,,14.6817 0.85226 0
14.7038,1.70546,0.85273,,14.7038 0.85273 0
