Distance,Diameter,Radius,,text,,,FFR
5.8668,1.28289,0.641445,,5.8668 0.641445 0,,,
5.86787,1.28317,0.641585,,5.86787 0.641585 0,,,
5.87427,1.2846,0.6423,,5.87427 0.6423 0,,,
5.89397,1.28925,0.644625,,5.89397 0.644625 0,,,
5.93163,1.29763,0.648815,,5.93163 0.648815 0,,,
5.94362,1.30067,0.650335,,5.94362 0.650335 0,,,
5.95299,1.30267,0.651335,,5.95299 0.651335 0,,,
5.96378,1.30459,0.652295,,5.96378 0.652295 0,,,
5.97343,1.30621,0.653105,,5.97343 0.653105 0,,,
5.97746,1.30625,0.653125,,5.97746 0.653125 0,,,
5.9983,1.30509,0.652545,,5.9983 0.652545 0,,,
6.00139,1.30497,0.652485,,6.00139 0.652485 0,,,
6.0224,1.30502,0.65251,,6.0224 0.65251 0,,,
6.02293,1.30501,0.652505,,6.02293 0.652505 0,,,
6.04137,1.3041,0.65205,,6.04137 0.65205 0,,,
6.05745,1.30332,0.65166,,6.05745 0.65166 0,,,
6.06358,1.30297,0.651485,,6.06358 0.651485 0,,,
6.12342,1.30391,0.651955,,6.12342 0.651955 0,,,
6.12359,1.3039,0.65195,,6.12359 0.65195 0,,,
6.14614,1.30317,0.651585,,6.14614 0.651585 0,,,
6.1484,1.30309,0.651545,,6.1484 0.651545 0,,,
6.16831,1.30178,0.65089,,6.16831 0.65089 0,,,
6.1891,1.30017,0.650085,,6.1891 0.650085 0,,,
6.18956,1.30012,0.65006,,6.18956 0.65006 0,,,
6.2229,1.29618,0.64809,,6.2229 0.64809 0,,,
6.23062,1.29535,0.647675,,6.23062 0.647675 0,,,
6.24016,1.29461,0.647305,,6.24016 0.647305 0,,,
6.25846,1.2934,0.6467,,6.25846 0.6467 0,,,
6.27834,1.29232,0.64616,,6.27834 0.64616 0,,,
6.28449,1.29192,0.64596,,6.28449 0.64596 0,,,
6.30439,1.2884,0.6442,,6.30439 0.6442 0,,,
6.3338,1.28504,0.64252,,6.3338 0.64252 0,,,
6.35995,1.2802,0.6401,,6.35995 0.6401 0,,,
6.3679,1.27907,0.639535,,6.3679 0.639535 0,,,
6.37467,1.27782,0.63891,,6.37467 0.63891 0,,,
6.38796,1.27587,0.637935,,6.38796 0.637935 0,,,
6.40891,1.2717,0.63585,,6.40891 0.63585 0,,,
6.41454,1.27069,0.635345,,6.41454 0.635345 0,,,
6.4283,1.26814,0.63407,,6.4283 0.63407 0,,,
6.4542,1.26356,0.63178,,6.4542 0.63178 0,,,
6.49634,1.25863,0.629315,,6.49634 0.629315 0,,,
6.53226,1.25652,0.62826,,6.53226 0.62826 0,,,
6.54366,1.25574,0.62787,,6.54366 0.62787 0,,,
6.58149,1.25155,0.625775,,6.58149 0.625775 0,,,
6.58209,1.25148,0.62574,,6.58209 0.62574 0,,,
6.58668,1.25102,0.62551,,6.58668 0.62551 0,,,
6.60411,1.24879,0.624395,,6.60411 0.624395 0,,,
6.61534,1.24757,0.623785,,6.61534 0.623785 0,,,
6.62525,1.2466,0.6233,,6.62525 0.6233 0,,,
6.63095,1.24606,0.62303,,6.63095 0.62303 0,,,
6.63352,1.24587,0.622935,,6.63352 0.622935 0,,,
6.67784,1.24444,0.62222,,6.67784 0.62222 0,,,
6.67798,1.24444,0.62222,,6.67798 0.62222 0,,,
6.70891,1.24379,0.621895,,6.70891 0.621895 0,,,
6.72334,1.24364,0.62182,,6.72334 0.62182 0,,,
6.73457,1.24351,0.621755,,6.73457 0.621755 0,,,
6.7355,1.2435,0.62175,,6.7355 0.62175 0,,,
6.73593,1.2435,0.62175,,6.73593 0.62175 0,,,
6.75781,1.24169,0.620845,,6.75781 0.620845 0,,,
6.77805,1.23969,0.619845,,6.77805 0.619845 0,,,
6.79621,1.23881,0.619405,,6.79621 0.619405 0,,,
6.84425,1.23614,0.61807,,6.84425 0.61807 0,,,
6.84928,1.2362,0.6181,,6.84928 0.6181 0,,,
6.85329,1.23616,0.61808,,6.85329 0.61808 0,,,
6.87277,1.23529,0.617645,,6.87277 0.617645 0,,,
6.90061,1.23473,0.617365,,6.90061 0.617365 0,,,
6.90174,1.23471,0.617355,,6.90174 0.617355 0,,,
6.92889,1.23341,0.616705,,6.92889 0.616705 0,,,
6.93777,1.23292,0.61646,,6.93777 0.61646 0,,,
6.93837,1.2329,0.61645,,6.93837 0.61645 0,,,
6.95947,1.23035,0.615175,,6.95947 0.615175 0,,,
6.97884,1.22826,0.61413,,6.97884 0.61413 0,,,
7.00646,1.22591,0.612955,,7.00646 0.612955 0,,,
7.04209,1.22271,0.611355,,7.04209 0.611355 0,,,
